ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes
FFIN,"First Financial Bankshares, Inc.",2023-05-16,2023-05-01,2023-05-15,728856,2,3439.7,$500M-$5B,True,False,25.44379234313965,1.91,-1.21,12.89,2023-05-23,2023-05-26,2023-06-15,False,
TCBI,"Texas Capital Bancshares, Inc.",2023-05-08,2023-04-21,2023-05-04,4347420,2,2314.5,$500M-$5B,True,False,46.720001220703125,-2.91,9.46,14.85,2023-05-15,2023-05-18,2023-06-07,False,
VIRT,"Virtu Financial, Inc.",2023-09-13,2023-09-13,2023-09-13,1110631,2,2533.7,$500M-$5B,True,False,16.51438331604004,-2.9,-2.68,0.39,2023-09-20,2023-09-25,2023-10-13,False,
LQDA,Liquidia Corporation,2023-12-18,2023-12-14,2023-12-14,3000004,2,512.0,$500M-$5B,False,False,7.889999866485596,47.28,52.98,70.22,2023-12-26,2023-12-28,2024-01-17,False,
AAP,"Advance Auto Parts, Inc.",2023-06-13,2023-06-07,2023-06-12,1002864,3,3846.2,$500M-$5B,True,False,66.15455627441406,-3.16,-6.45,1.01,2023-06-20,2023-06-23,2023-07-13,False,
WSBC,"WesBanco, Inc.",2023-05-09,2023-05-08,2023-05-09,686315,2,1162.9,$500M-$5B,True,False,19.15117073059082,-2.08,5.56,27.78,2023-05-16,2023-05-19,2023-06-08,False,
BXMT,"Blackstone Mortgage Trust, Inc.",2023-03-15,2023-03-13,2023-03-15,1121037,2,2159.7,$500M-$5B,True,False,12.563811302185059,-0.44,-1.05,-0.91,2023-03-22,2023-03-27,2023-04-14,False,
SFNC,Simmons First National Corporation,2023-05-15,2023-05-01,2023-05-12,732950,4,1742.9,$500M-$5B,True,False,13.381072998046875,9.97,9.64,19.44,2023-05-22,2023-05-25,2023-06-14,False,
ERII,"Energy Recovery, Inc.",2023-11-13,2023-11-07,2023-11-09,303475,2,1015.6,$500M-$5B,False,False,19.34000015258789,1.65,0.83,-3.83,2023-11-20,2023-11-24,2023-12-13,False,
APPS,"Digital Turbine, Inc.",2023-09-18,2023-09-14,2023-09-15,400200,2,669.4,$500M-$5B,True,False,6.710000038146973,-7.6,-9.39,-18.48,2023-09-25,2023-09-28,2023-10-18,False,
ZUMZ,Zumiez Inc.,2023-06-06,2023-06-05,2023-06-05,1163500,2,287.0,$200M-$500M,True,False,16.639999389648438,-9.8,-12.5,0.3,2023-06-13,2023-06-16,2023-07-06,False,
NEWT,"NewtekOne, Inc.",2023-03-23,2023-03-20,2023-03-23,614748,2,240.7,$200M-$500M,True,False,10.274039268493652,4.08,-0.76,-5.3,2023-03-30,2023-04-03,2023-04-24,False,
AENT,Alliance Entertainment Holding Corporation,2023-07-05,2023-06-30,2023-06-30,999600,4,293.7,$200M-$500M,True,False,2.4100000858306885,-4.56,0.0,-14.94,2023-07-12,2023-07-17,2023-08-04,False,
GCO,Genesco Inc.,2023-06-13,2023-06-05,2023-06-09,565894,2,273.1,$200M-$500M,False,False,21.950000762939453,7.56,9.02,18.45,2023-06-20,2023-06-23,2023-07-13,False,
NMRA,"Neumora Therapeutics, Inc.",2023-09-29,2023-09-19,2023-09-29,3063747,2,2144.0,$500M-$5B,False,False,11.010000228881836,10.26,8.45,-0.36,2023-10-06,2023-10-09,2023-10-30,False,
ASLE,AerSale Corporation,2023-08-21,2023-08-11,2023-08-18,2206555,2,648.8,$500M-$5B,False,False,13.859999656677246,3.25,6.85,10.53,2023-08-28,2023-08-31,2023-09-20,False,
LNKB,"LINKBANCORP, Inc.",2023-02-23,2023-02-21,2023-02-21,8600015,3,258.4,$200M-$500M,True,True,6.957695960998535,1.07,-0.57,-16.93,2023-03-02,2023-03-06,2023-03-27,False,
RILY,"BRC Group Holdings, Inc.",2023-02-09,2023-02-08,2023-02-09,6743112,3,959.9,$500M-$5B,False,False,34.8090705871582,7.68,-0.37,-24.59,2023-02-16,2023-02-21,2023-03-13,False,
RILY,"BRC Group Holdings, Inc.",2023-02-27,2023-02-09,2023-02-23,875891,2,949.8,$500M-$5B,False,False,33.95547866821289,0.98,-6.06,-25.5,2023-03-06,2023-03-09,2023-03-29,False,
RILY,"BRC Group Holdings, Inc.",2023-03-07,2023-02-23,2023-03-07,1344029,3,1000.9,$500M-$5B,False,False,34.390811920166016,-19.19,-24.2,-35.68,2023-03-14,2023-03-17,2023-04-06,False,
RILY,"BRC Group Holdings, Inc.",2023-03-14,2023-02-24,2023-03-10,1141801,2,792.7,$500M-$5B,True,False,27.064489364624023,1.58,-12.81,-10.67,2023-03-21,2023-03-24,2023-04-13,False,
RILY,"BRC Group Holdings, Inc.",2023-03-20,2023-03-07,2023-03-17,3028261,5,757.2,$500M-$5B,True,False,27.493389129638672,-9.81,-9.61,0.57,2023-03-27,2023-03-30,2023-04-19,False,
RILY,"BRC Group Holdings, Inc.",2023-07-27,2023-07-25,2023-07-26,9499930,4,1424.5,$500M-$5B,False,False,50.35811996459961,-5.69,-0.91,-10.67,2023-08-03,2023-08-07,2023-08-28,False,
RILY,"BRC Group Holdings, Inc.",2023-11-17,2023-11-10,2023-11-17,1802743,4,643.8,$500M-$5B,True,False,23.99477195739746,-15.96,-23.1,-13.92,2023-11-24,2023-11-27,2023-12-18,False,
FLWS,"1-800-FLOWERS.COM, Inc.",2023-09-11,2023-09-07,2023-09-07,342450,2,459.2,$200M-$500M,False,False,7.139999866485596,-3.64,-10.36,-1.68,2023-09-18,2023-09-21,2023-10-11,False,
